dim,element,before,after,pre_sum,aft_sum,p,q,surprise,surprise_rank,ep,ep_sum,lag_ep_sum,surprise_sum,overall_dim_surprise_rank
app_version,8.86.4,463389,382996,3119334,3047331,0.148553825913,0.125682441455,0.000207342779,2,1.11652292266,1.4954376901,0.37891476744,0.000590605353,1
app_version,9.8.1,46993,19710,3119334,3047331,0.015065074788,0.006467955073,0.000383262574,1,0.37891476744,0.37891476744,0.37891476744,0.000590605353,1
language,hi,728372,709467,3119334,3047331,0.233502407886,0.232815864112,1.09743e-07,21,0.262558504507,0.512173103899,0.249614599392,3.47952e-07,2
language,en,929755,911782,3119334,3047331,0.298062022214,0.299206748463,2.38209e-07,14,0.249614599392,0.249614599392,0.249614599392,3.47952e-07,2
